MA	2501358650	00618190	Russell town	A	45254236	1111150	      17.473	       0.429	 42.161251	 -72.853806
MA	2501365825	00618191	Southwick town	A	79817799	2152671	      30.818	       0.831	 42.052570	 -72.777353
MA	2501367000	00619388	Springfield city	F	82538680	3142825	      31.868	       1.213	 42.115454	 -72.539978
MA	2501370045	00618192	Tolland town	A	81707121	3277267	      31.547	       1.265	 42.102146	 -73.034555
MA	2501372390	00619389	Wales town	A	40775676	598303	      15.744	       0.231	 42.061313	 -72.234411
MA	2501376030	00618193	Westfield city	F	119794955	2751747	      46.253	       1.062	 42.138838	 -72.755911
MA	2501377890	00618194	West Springfield Town city	F	43345017	2059804	      16.736	       0.795	 42.125451	 -72.649734
MA	2501379740	00619390	Wilbraham town	A	57094700	746100	      22.044	       0.288	 42.126883	 -72.430952
MA	2501501325	00618195	Amherst town	A	71550744	338993	      27.626	       0.131	 42.363534	 -72.507291
MA	2501504825	00618196	Belchertown town	A	136236049	6943300	      52.601	       2.681	 42.279010	 -72.400468
MA	2501513590	00618197	Chesterfield town	A	79899249	1028251	      30.849	       0.397	 42.377852	 -72.841984
MA	2501516040	00618198	Cummington town	A	59408390	332330	      22.938	       0.128	 42.465495	 -72.918267
MA	2501519370	00618199	Easthampton Town city	F	34502148	726840	      13.321	       0.281	 42.265435	 -72.670813
MA	2501526290	00619391	Goshen town	A	44809098	1030937	      17.301	       0.398	 42.437627	 -72.811141
MA	2501526535	00618200	Granby town	A	72047886	666977	      27.818	       0.258	 42.244949	 -72.500143
MA	2501527690	00618201	Hadley town	A	59786240	3942942	      23.084	       1.522	 42.356491	 -72.568632
